LfdNr;Name;Typ;Beschreibung;Startzeit;Endzeit;Dauer;Fval_Opt;Fval_Text;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Materialspannung_fval;Materialspannung_phys;Kondition_fval;Kondition_phys;Manip_fval;Manip_physval;MinSingVal_fval;MinSingVal_physval;Positionsfehler_fval;Positionsfehler_phys;Gelenkbereich_fval;Gelenkbereich_phys;Gelenkgrenze_fval;Gelenkgrenze_phys;AntrGeschw_fval;AntrGeschw_phys;KinLaenge_fval;KinLaenge_phys;Bauraum_fval;Bauraum_phys;Footprint_fval;Footprint_phys;CollDist_fval;CollDist_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;num_succ;num_fail;comptime_sum
;;;;;;;Zielfunktion der Optimierung;;(normiert);in kg;(normiert);in J;(normiert);in N bzw. Nm;(normiert);"Ausnutzung der Materialgrenzen; 1=max";(normiert);in Einheiten der Jacobi;(normiert);in Einh. von J;(normiert);in Einh. von J;(normiert);in µm;(normiert);in Grad;(normiert);in Grad;(normiert);in rad/s bzw. m/s;(normiert);in mm;(normiert);in m³;(normiert);in m²;(normiert);in mm;transl., normiert;in mm/N;in N/mm;;;Rechenzeit der Fitness-Auswertungen
1;P5PRRRR4G1P8A1;2;5PRRRR;14.06.2022 19:10:51;15.06.2022 07:11:36;23.928183;30070756.1032436;Selbstkoll. Traj.;103.714219413307;16.4370678748534;577.746215852167;127.981084300188;998.22560838053;35878.1070000792;990.852865297967;63.6326314950772;273.135774226772;9406.99195178802;4.31278000688508;0.0677460263090871;191.722031755417;3.10603608298847;997.205666214533;34173.5669118911;0;37.1024691299288;117.789581632779;6.74884589816993;295.167235300867;1;994.020007938289;17742.5276833173;982.354423607814;3.60689114837091;978.572732054721;2.96995098523556;-238.255938986542;-39.2762418486665;99.8894939696141;0.00576094472624947;173.582640958791;0;20001;42572.441888
2;P5PRRRR4V1G1P8A1;2;5PRUR;14.06.2022 19:10:51;15.06.2022 07:11:36;30.995618;723.219093973491;i.O.;126.661961784169;20.1627678500184;637.341919051606;156.130032451563;969.528582169605;2087.64008406389;754.213945244717;3.18634599685866;209.198646915267;915.450488526429;24.4964173351465;0.384978845476894;228.826177480132;3.75762868923752;973.654907098907;3622.62711830569;445.323933879458;80.1583080983024;1631.18610726386;93.4600795465933;295.167235300867;1;990.494048132026;11160.9453825358;969.964591134616;2.11799131203097;965.842388783511;1.86198252027788;12.1328706717019;1.90605764527803;99.8643906996748;0.00469450699877381;213.01491301668;474;22527;42285.472224
3;P5PRRRR6G10P8A1;2;5PRRRR;14.06.2022 19:10:51;15.06.2022 07:11:36;13.411791;1038901530.34703;AR-Hindernis Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;13001;40581.5630839999
4;P5PRRRR6G9P8A1;2;5PRRRR;14.06.2022 19:10:51;15.06.2022 07:11:35;9.124782;3183736707.89751;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;23001;42434.7516400001
5;P5PRRRR6V1G10P8A1;2;5PRUR;14.06.2022 19:10:51;15.06.2022 07:11:36;34.251803;697.820308849423;i.O.;135.05516606938;21.5385039980612;671.459198109011;176.256157811121;928.992353009108;892.829965506496;670.8047073558;2.54460998728878;137.381975190404;80.1781774047906;177.73707189452;2.86676188988648;281.094737321944;4.72666368007875;683.844623317759;276.795534943097;340.222928223957;61.2401270803122;2145.14786547688;122.907919123322;295.167235300867;1;990.577811739422;11260.1812909522;965.501143805658;1.84352917276277;954.619130265234;1.40046036816074;304.498461142296;51.845841770513;98.8117547431429;0.00053570240542788;1866.70806378267;89;21912;42398.868386
6;P5PRRRR6V1G9P8A1;2;5PRUR;14.06.2022 19:10:51;15.06.2022 07:11:28;11.613657;3034101918.34327;Selbstkoll. Eckpkt.;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;21001;41496.1714459999
7;P5RPRRR8G9P8A1;2;5RPRRR;14.06.2022 19:09:30;15.06.2022 07:11:35;31.907808;708.207278840558;i.O.;150.450959242446;24.0828080373843;654.973665944231;166.083898060985;980.045571014702;3189.32339792476;873.125803901078;5.44189728452216;159.558905149856;167.395436354313;2.21418286514792;0.034780443357182;211.608650906868;3.4520204227327;847.093407319158;612.462605856011;0;28.0464285926774;158.363062171172;9.07353509317605;293.620787797052;0.993934469976528;990.722487344754;11435.800522271;974.340448082837;2.47968083404163;966.099294337222;1.8761199690216;285.746148863434;48.1636278232831;98.8978116925819;0.000577538483247128;1731.48634940765;219;22782;42730.783923
8;P5RPRRR8V1G9P8A1;2;5RPUR;14.06.2022 19:09:30;15.06.2022 07:11:36;30.948813;738.112360127216;i.O.;152.080593016757;24.3538044691185;679.206647364086;181.363586119239;998.679438121395;48208.1808952625;995.898963420243;140.708095586929;246.067206906357;3428.53486735239;0.83995987518321;0.013194066522147;205.658965705815;3.34775951001522;994.849856639713;18541.4028265937;311.93148588;56.1476674583999;2217.9057020081;127.076636083064;295.088012697695;0.999688912919479;992.423321950803;14003.2722831076;975.846554229561;2.63446585370062;963.822154585479;1.75780042261975;36.8614909850405;5.79666893988145;99.6652013878499;0.00190148310127085;525.90527853319;112;19889;41513.9773519999
9;P5RRPRR4G1P8A1;2;5RRPRR;14.06.2022 19:09:30;15.06.2022 07:11:36;28.650824;742.429187327031;i.O.;153.772733721245;24.6355532112284;681.644777966768;183.017793506363;994.161255044607;10903.0609686702;975.100757066156;23.9965652357352;254.344901385392;4650.1081705179;12.6344367160641;0.198487327849911;194.013706406837;3.145550824661;994.665917676628;17901.9980207866;0;44.0339108810367;209.584653273539;12.0083160832865;295.167235300867;1;993.614788779709;16616.4804539911;979.327873705825;3.07852223111008;969.275783446032;2.07043661806761;184.61841556209;29.8410531173608;99.928557725736;0.00891096359517229;112.221309100822;96;36905;42368.103401
